cement,slag,ash,water,superplastic,coarseagg,fineagg,age,strength,converted_strength,converted_age,cement_normalized,slag_normalized,ash_normalized,water_normalized,superplastic_normalized,coarseagg_normalized,fineagg_normalized
167.0,187.0,195.0,185.0,7.0,898.0,636.0,28,23.89,2,5,0.14840182648401828,0.52031163049527,0.974512743628186,0.5047923322683707,0.21739130434782605,0.28197674418604635,0.10536879076768702
213.8,98.1,24.5,181.7,6.7,1066.0,785.5,100,49.97,4,9,0.25525114155251144,0.27295492487479134,0.12243878060969515,0.4784345047923322,0.20807453416149066,0.7703488372093026,0.48043151028600106
237.5,237.5,0.0,228.0,0.0,932.0,594.0,28,30.08,3,5,0.3093607305936073,0.6608235948803562,0.0,0.8482428115015974,0.0,0.3808139534883721,0.0
336.0,0.0,0.0,182.0,3.0,986.0,817.0,28,44.86,4,5,0.5342465753424657,0.0,0.0,0.48083067092651754,0.09316770186335402,0.5377906976744184,0.5594581033617663
190.7,0.0,125.4,162.1,7.8,1090.0,804.0,3,15.04,1,2,0.2025114155251141,0.0,0.6266866566716642,0.3218849840255591,0.24223602484472045,0.8401162790697674,0.5268439538384346
312.7,0.0,0.0,178.1,8.0,999.7,822.2,28,25.1,2,5,0.4810502283105022,0.0,0.0,0.4496805111821085,0.24844720496894407,0.5776162790697676,0.5725037631710992
229.7,0.0,118.2,195.2,6.1,1028.1,757.6,3,13.36,1,2,0.291552511415525,0.0,0.5907046476761619,0.5862619808306708,0.18944099378881984,0.660174418604651,0.4104365278474662
228.0,342.1,0.0,185.7,0.0,955.8,674.3,7,21.92,2,3,0.2876712328767123,0.9518642181413468,0.0,0.5103833865814695,0.0,0.44999999999999973,0.20145509282488705
236.0,157.0,0.0,192.0,0.0,972.6,749.1,7,20.42,2,3,0.3059360730593607,0.4368391764051197,0.0,0.560702875399361,0.0,0.49883720930232567,0.3891118916206724
132.0,207.0,161.0,179.0,5.0,867.0,736.0,28,33.3,3,5,0.0684931506849315,0.5759599332220368,0.8045977011494253,0.4568690095846646,0.15527950310559005,0.19186046511627897,0.35624686402408434
331.0,0.0,0.0,192.0,0.0,1025.0,821.0,28,31.74,3,5,0.5228310502283104,0.0,0.0,0.560702875399361,0.0,0.6511627906976742,0.5694932262920223
310.0,143.0,0.0,168.0,10.0,914.0,804.0,28,45.3,4,5,0.4748858447488585,0.3978853644963829,0.0,0.3690095846645367,0.3105590062111801,0.3284883720930232,0.5268439538384346
304.0,76.0,0.0,228.0,0.0,932.0,670.0,90,49.19,4,7,0.4611872146118721,0.211463550361714,0.0,0.8482428115015974,0.0,0.3808139534883721,0.19066733567486205
425.0,106.3,0.0,153.5,16.5,852.1,887.1,91,65.2,5,8,0.7374429223744292,0.29577072899276574,0.0,0.25319488817891367,0.5124223602484471,0.14854651162790722,0.7353236327145007
166.1,0.0,163.3,176.5,4.5,1058.6,780.1,28,21.54,2,5,0.14634703196347032,0.0,0.8160919540229886,0.4369009584664536,0.13975155279503104,0.7488372093023252,0.46688409433015554
255.0,99.0,77.0,189.0,6.0,919.0,749.0,28,33.8,3,5,0.3493150684931507,0.27545909849749584,0.3848075962018991,0.5367412140575081,0.18633540372670804,0.34302325581395365,0.388861013547416
339.0,0.0,0.0,197.0,0.0,968.0,781.0,28,32.04,3,5,0.5410958904109588,0.0,0.0,0.6006389776357828,0.0,0.48546511627906996,0.46914199698946324
475.0,0.0,0.0,228.0,0.0,932.0,594.0,28,39.29,3,5,0.8515981735159817,0.0,0.0,0.8482428115015974,0.0,0.3808139534883721,0.0
145.7,172.6,0.0,181.9,3.4,985.8,816.8,28,23.74,2,5,0.09977168949771686,0.48024485253199783,0.0,0.48003194888178924,0.10559006211180123,0.5372093023255813,0.5589563472152534
313.0,145.0,0.0,127.0,8.0,1000.0,822.0,28,44.52,4,5,0.48173515981735154,0.4034501947690596,0.0,0.04153354632587858,0.24844720496894407,0.5784883720930232,0.5720020070245859
331.0,0.0,0.0,192.0,0.0,1025.0,821.0,90,37.91,3,7,0.5228310502283104,0.0,0.0,0.560702875399361,0.0,0.6511627906976742,0.5694932262920223
178.0,129.8,118.6,179.9,3.6,1007.3,746.8,28,39.16,3,5,0.1735159817351598,0.3611574846967168,0.592703648175912,0.46405750798722045,0.11180124223602483,0.5997093023255813,0.38334169593577516
165.0,0.0,143.6,163.8,0.0,1005.6,900.9,14,16.88,1,4,0.14383561643835613,0.0,0.7176411794102948,0.3354632587859425,0.0,0.5947674418604652,0.7699448068238837
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,14,47.71,4,4,0.39999999999999997,0.27212020033388984,0.12243878060969515,0.31070287539936103,0.3478260869565217,0.7578488372093024,0.4729051680883092
325.0,0.0,0.0,184.0,0.0,1063.0,783.0,7,17.54,1,3,0.5091324200913241,0.0,0.0,0.49680511182108633,0.0,0.7616279069767442,0.474159558454591
167.0,75.4,167.0,164.0,7.9,1007.3,770.1,28,41.41,4,5,0.14840182648401828,0.209794101279911,0.8345827086456772,0.33706070287539935,0.2453416149068323,0.5997093023255813,0.4417962870045158
194.7,0.0,100.5,170.2,7.5,998.0,901.8,14,24.28,2,4,0.2116438356164383,0.0,0.5022488755622189,0.3865814696485623,0.23291925465838506,0.5726744186046511,0.7722027094831911
246.8,0.0,125.1,143.3,12.0,1086.8,800.9,56,60.32,5,6,0.33059360730593607,0.0,0.6251874062968515,0.17172523961661357,0.3726708074534161,0.8308139534883718,0.5190667335674861
382.0,0.0,0.0,185.0,0.0,1047.0,739.0,28,37.42,3,5,0.639269406392694,0.0,0.0,0.5047923322683707,0.0,0.7151162790697674,0.3637732062217762
149.0,118.0,92.0,183.0,7.0,953.0,780.0,28,23.52,2,5,0.10730593607305933,0.3283249860879244,0.4597701149425288,0.48881789137380194,0.21739130434782605,0.44186046511627897,0.46663321625689913
531.3,0.0,0.0,141.8,28.2,852.1,893.7,91,59.2,5,8,0.9801369863013696,0.0,0.0,0.15974440894568698,0.8757763975155278,0.14854651162790722,0.751881585549423
387.0,20.0,94.0,157.0,11.6,938.0,845.0,56,61.46,5,6,0.6506849315068493,0.05564830272676684,0.4697651174412794,0.28115015974440905,0.3602484472049689,0.3982558139534884,0.6297039638735573
193.5,290.2,0.0,185.7,0.0,998.2,704.3,7,17.2,1,3,0.2089041095890411,0.8074568725653868,0.0,0.5103833865814695,0.0,0.5732558139534887,0.2767185148018063
326.0,0.0,138.0,199.0,11.0,801.0,792.0,28,40.68,4,5,0.5114155251141552,0.0,0.6896551724137931,0.6166134185303513,0.3416149068322981,0.0,0.4967385850476669
337.9,189.0,0.0,174.9,9.5,944.7,755.8,28,49.9,4,5,0.5385844748858446,0.5258764607679466,0.0,0.4241214057507987,0.29503105590062106,0.417732558139535,0.4059207225288508
425.0,106.3,0.0,153.5,16.5,852.1,887.1,3,33.4,3,2,0.7374429223744292,0.29577072899276574,0.0,0.25319488817891367,0.5124223602484471,0.14854651162790722,0.7353236327145007
200.0,200.0,0.0,190.0,0.0,1145.0,660.0,28,49.25,4,5,0.2237442922374429,0.5564830272676684,0.0,0.5447284345047922,0.0,1.0,0.1655795283492223
331.0,0.0,0.0,192.0,0.0,978.0,825.0,180,39.0,3,11,0.5228310502283104,0.0,0.0,0.560702875399361,0.0,0.5145348837209305,0.5795283492222778
218.9,0.0,124.1,158.5,11.3,1078.7,794.9,56,37.27,3,6,0.2668949771689498,0.0,0.6201899050474763,0.2931309904153354,0.35093167701863354,0.8072674418604655,0.5040140491721024
234.0,156.0,0.0,189.0,5.9,981.0,760.0,28,39.3,3,5,0.30136986301369856,0.43405676126878134,0.0,0.5367412140575081,0.18322981366459626,0.5232558139534884,0.4164576016056196
309.9,142.8,111.2,167.8,22.1,913.9,651.2,28,38.22,3,5,0.47465753424657525,0.39732888146911527,0.5557221389305348,0.3674121405750801,0.686335403726708,0.3281976744186048,0.14350225790265947
350.0,0.0,0.0,186.0,0.0,1050.0,770.0,7,20.28,2,3,0.5662100456621004,0.0,0.0,0.5127795527156549,0.0,0.7238372093023258,0.4415454089312594
182.0,45.2,122.0,170.2,8.2,1059.4,780.7,100,48.67,4,9,0.182648401826484,0.12576516416249306,0.6096951524237881,0.3865814696485623,0.2546583850931676,0.7511627906976748,0.468389362769694
480.0,0.0,0.0,192.0,0.0,936.2,712.2,7,34.57,3,3,0.8630136986301369,0.0,0.0,0.560702875399361,0.0,0.3930232558139535,0.2965378825890619
295.7,0.0,95.6,171.5,8.9,955.1,859.2,14,35.23,3,4,0.4422374429223744,0.0,0.4777611194402799,0.39696485623003186,0.2763975155279503,0.4479651162790699,0.6653286502759659
250.0,0.0,95.7,187.4,5.5,956.9,861.2,100,42.35,4,9,0.33789954337899536,0.0,0.4782608695652174,0.5239616613418532,0.17080745341614906,0.4531976744186048,0.6703462117410941
178.0,129.8,118.6,179.9,3.6,1007.3,746.8,3,20.73,2,2,0.1735159817351598,0.3611574846967168,0.592703648175912,0.46405750798722045,0.11180124223602483,0.5997093023255813,0.38334169593577516
233.8,0.0,94.6,197.9,4.6,947.0,852.2,3,10.38,1,2,0.30091324200913244,0.0,0.47276361819090457,0.6078274760383386,0.14285714285714282,0.42441860465116266,0.647767185148018
194.7,0.0,100.5,165.6,7.5,1006.4,905.9,100,37.34,3,9,0.2116438356164383,0.0,0.5022488755622189,0.34984025559105425,0.23291925465838506,0.5970930232558138,0.7824887104867033
379.5,151.2,0.0,153.9,15.9,1134.3,605.0,56,54.9,5,6,0.6335616438356164,0.4207011686143573,0.0,0.25638977635782756,0.49378881987577633,0.9688953488372092,0.027596588058203864
332.5,142.5,0.0,228.0,0.0,932.0,594.0,365,41.05,4,14,0.5262557077625571,0.3964941569282137,0.0,0.8482428115015974,0.0,0.3808139534883721,0.0
350.0,0.0,0.0,203.0,0.0,974.0,775.0,56,29.98,2,6,0.5662100456621004,0.0,0.0,0.6485623003194889,0.0,0.5029069767441863,0.45408931259407925
237.0,92.0,71.0,247.0,6.0,853.0,695.0,28,28.63,2,5,0.30821917808219174,0.2559821925431275,0.3548225887056472,1.0,0.18633540372670804,0.1511627906976747,0.25338685398896144
238.1,0.0,94.1,186.7,7.0,949.9,847.0,100,44.3,4,9,0.31073059360730587,0.0,0.4702648675662169,0.5183706070287539,0.21739130434782605,0.43284883720930223,0.6347215253386855
295.7,0.0,95.6,171.5,8.9,955.1,859.2,100,52.04,5,9,0.4422374429223744,0.0,0.4777611194402799,0.39696485623003186,0.2763975155279503,0.4479651162790699,0.6653286502759659
323.7,282.8,0.0,183.8,10.3,942.7,659.9,7,49.8,4,3,0.5061643835616438,0.7868670005564832,0.0,0.4952076677316295,0.3198757763975155,0.4119186046511629,0.16532865027596588
200.0,133.0,0.0,192.0,0.0,965.4,806.2,3,11.41,1,2,0.2237442922374429,0.3700612131329995,0.0,0.560702875399361,0.0,0.4779069767441859,0.5323632714500752
342.0,38.0,0.0,228.0,0.0,932.0,670.0,90,50.46,5,7,0.547945205479452,0.105731775180857,0.0,0.8482428115015974,0.0,0.3808139534883721,0.19066733567486205
388.6,97.1,0.0,157.9,12.1,852.1,925.7,3,28.1,2,2,0.6543378995433791,0.27017250973845297,0.0,0.2883386581469649,0.3757763975155279,0.14854651162790722,0.8321625689914705
147.8,175.1,0.0,171.2,2.2,1000.0,828.5,28,26.92,2,5,0.10456621004566213,0.48720089037284364,0.0,0.3945686900958465,0.06832298136645962,0.5784883720930232,0.588309081786252
290.4,0.0,96.2,168.1,9.4,961.2,865.0,56,45.08,4,6,0.4301369863013698,0.0,0.4807596201899051,0.36980830670926523,0.2919254658385093,0.465697674418605,0.6798795785248368
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,14,36.94,3,4,0.9086757990867578,0.0,0.0,0.6246006389776357,0.0,0.941860465116279,0.04766683391871562
284.0,15.0,141.0,179.0,5.5,842.0,801.0,7,24.13,2,3,0.4155251141552511,0.04173622704507513,0.704647676161919,0.4568690095846646,0.17080745341614906,0.1191860465116279,0.5193176116407427
165.0,128.5,132.1,175.1,8.1,1005.8,746.6,3,19.42,1,2,0.14383561643835613,0.35754034501947696,0.6601699150424788,0.42571884984025554,0.2515527950310559,0.5953488372093023,0.38283993978926256
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,3,27.42,2,2,0.265296803652968,0.1519198664440735,0.6186906546726637,0.15175718849840258,0.3695652173913043,0.7985465116279071,0.49849473156046176
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,56,39.15,3,6,0.15273972602739727,0.11741791875347804,0.6211894052973513,0.2915335463258788,0.3354037267080745,0.8133720930232555,0.5072754641244357
190.3,0.0,125.2,161.9,9.9,1088.1,802.6,28,28.47,2,5,0.20159817351598175,0.0,0.6256871564217892,0.32028753993610226,0.3074534161490683,0.8345930232558136,0.5233316608128449
116.0,173.0,0.0,192.0,0.0,909.8,891.9,90,31.02,3,7,0.0319634703196347,0.48135781858653315,0.0,0.560702875399361,0.0,0.3162790697674418,0.7473657802308076
277.0,0.0,0.0,191.0,0.0,968.0,856.0,90,31.25,3,7,0.39954337899543374,0.0,0.0,0.5527156549520766,0.0,0.48546511627906996,0.6573005519317612
376.0,0.0,0.0,214.6,0.0,1003.5,762.4,100,43.06,4,9,0.6255707762557077,0.0,0.0,0.7412140575079871,0.0,0.5886627906976742,0.42247867536377326
236.0,0.0,0.0,194.0,0.0,968.0,885.0,14,12.84,1,4,0.3059360730593607,0.0,0.0,0.5766773162939298,0.0,0.48546511627906996,0.7300551931761163
273.0,0.0,90.0,199.0,11.0,931.0,762.0,28,32.24,3,5,0.39041095890410954,0.0,0.44977511244377816,0.6166134185303513,0.3416149068322981,0.3779069767441863,0.4214751630707476
500.0,0.0,0.0,140.0,4.0,966.0,853.0,28,67.57,5,5,0.9086757990867578,0.0,0.0,0.14536741214057503,0.12422360248447203,0.47965116279069786,0.6497742097340693
212.5,0.0,100.4,159.3,8.7,1007.8,903.6,14,26.31,2,4,0.252283105022831,0.0,0.5017491254372815,0.29952076677316297,0.27018633540372666,0.6011627906976744,0.7767185148018065
362.6,189.0,0.0,164.9,11.6,944.7,755.8,3,35.3,3,2,0.5949771689497718,0.5258764607679466,0.0,0.34424920127795544,0.3602484472049689,0.417732558139535,0.4059207225288508
275.1,0.0,121.4,159.5,9.9,1053.6,777.5,3,23.8,2,2,0.3952054794520548,0.0,0.606696651674163,0.3011182108626198,0.3074534161490683,0.7343023255813952,0.4603612644254893
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,7,14.59,1,3,0.08584474885844745,0.5826377295492489,0.0,0.560702875399361,0.0,0.7151162790697674,0.5341194179628699
362.6,189.0,0.0,164.9,11.6,944.7,755.8,7,55.9,5,3,0.5949771689497718,0.5258764607679466,0.0,0.34424920127795544,0.3602484472049689,0.417732558139535,0.4059207225288508
182.0,45.2,122.0,170.2,8.2,1059.4,780.7,14,21.5,2,4,0.182648401826484,0.12576516416249306,0.6096951524237881,0.3865814696485623,0.2546583850931676,0.7511627906976748,0.468389362769694
427.5,47.5,0.0,228.0,0.0,932.0,594.0,180,41.84,4,11,0.7431506849315068,0.13216471897607124,0.0,0.8482428115015974,0.0,0.3808139534883721,0.0
183.9,122.6,0.0,203.5,0.0,959.2,800.0,3,4.9,1,2,0.186986301369863,0.34112409571508073,0.0,0.6525559105431309,0.0,0.4598837209302329,0.5168088309081786
475.0,0.0,59.0,142.0,1.9,1098.0,641.0,28,57.23,5,5,0.8515981735159817,0.0,0.29485257371314344,0.1613418530351438,0.05900621118012422,0.8633720930232558,0.11791269443050689
362.6,189.0,0.0,164.9,11.6,944.7,755.8,28,71.3,5,5,0.5949771689497718,0.5258764607679466,0.0,0.34424920127795544,0.3602484472049689,0.417732558139535,0.4059207225288508
318.8,212.5,0.0,155.7,14.3,852.1,880.4,7,33.4,3,3,0.4949771689497717,0.5912632164718977,0.0,0.2707667731629393,0.4440993788819875,0.14854651162790722,0.7185148018063219
252.0,97.0,76.0,194.0,8.0,835.0,821.0,28,33.4,3,5,0.3424657534246575,0.26989426822481916,0.37981009495252377,0.5766773162939298,0.24844720496894407,0.09883720930232576,0.5694932262920223
237.5,237.5,0.0,228.0,0.0,932.0,594.0,180,36.25,3,11,0.3093607305936073,0.6608235948803562,0.0,0.8482428115015974,0.0,0.3808139534883721,0.0
149.5,236.0,0.0,175.8,12.6,846.8,892.7,28,32.96,3,5,0.1084474885844749,0.6566499721758488,0.0,0.4313099041533548,0.3913043478260869,0.13313953488372077,0.7493728048168593
540.0,0.0,0.0,162.0,2.5,1055.0,676.0,28,61.89,5,5,1.0,0.0,0.0,0.3210862619808308,0.07763975155279502,0.7383720930232558,0.2057200200702458
313.0,0.0,113.0,178.0,8.0,1002.0,689.0,28,36.8,3,5,0.48173515981735154,0.0,0.5647176411794104,0.4488817891373802,0.24844720496894407,0.5843023255813953,0.23833416959357745
380.0,0.0,0.0,228.0,0.0,932.0,670.0,180,53.1,5,11,0.634703196347032,0.0,0.0,0.8482428115015974,0.0,0.3808139534883721,0.19066733567486205
251.4,0.0,118.3,192.9,5.8,1043.6,754.3,3,11.98,1,2,0.34109589041095895,0.0,0.5912043978010995,0.5678913738019169,0.18012422360248445,0.7052325581395347,0.40215755143000487
436.0,0.0,0.0,218.0,0.0,838.4,719.7,28,23.85,2,5,0.7625570776255708,0.0,0.0,0.7683706070287539,0.0,0.10872093023255802,0.3153537380832916
155.0,0.0,143.0,193.0,9.0,877.0,868.0,28,9.74,1,5,0.12100456621004568,0.0,0.7146426786606697,0.5686900958466454,0.2795031055900621,0.22093023255813948,0.6874059207225287
281.0,0.0,0.0,186.0,0.0,1104.0,774.0,7,14.5,1,3,0.40867579908675794,0.0,0.0,0.5127795527156549,0.0,0.8808139534883721,0.45158053186151537
151.6,0.0,111.9,184.4,7.9,992.0,815.9,28,12.18,1,5,0.11324200913242005,0.0,0.5592203898050975,0.5,0.2453416149068323,0.5552325581395348,0.556698444555946
326.5,0.0,137.9,199.0,10.8,801.1,792.5,28,38.63,3,5,0.5125570776255708,0.0,0.6891554222888556,0.6166134185303513,0.3354037267080745,0.000290697674418805,0.49799297541394894
397.0,17.2,158.0,167.0,20.8,967.0,633.0,28,55.65,5,5,0.6735159817351597,0.04785754034501948,0.7896051974012994,0.3610223642172523,0.6459627329192545,0.4825581395348837,0.09784244856999513
238.0,0.0,0.0,186.0,0.0,1119.0,789.0,7,12.05,1,3,0.31050228310502287,0.0,0.0,0.5127795527156549,0.0,0.9244186046511627,0.489212242849975
158.6,148.9,116.0,175.1,15.0,953.3,719.7,28,27.68,2,5,0.12922374429223743,0.4143016138007791,0.5797101449275363,0.42571884984025554,0.4658385093167701,0.44273255813953494,0.3153537380832916
385.0,0.0,0.0,186.0,0.0,966.0,763.0,28,31.35,3,5,0.6461187214611872,0.0,0.0,0.5127795527156549,0.0,0.47965116279069786,0.4239839438033117
302.0,0.0,0.0,203.0,0.0,974.0,817.0,14,18.13,1,4,0.4566210045662101,0.0,0.0,0.6485623003194889,0.0,0.5029069767441863,0.5594581033617663
192.0,288.0,0.0,192.0,0.0,929.8,716.1,3,12.79,1,2,0.2054794520547945,0.8013355592654425,0.0,0.560702875399361,0.0,0.37441860465116283,0.30632212744606124
155.6,243.5,0.0,180.3,10.7,1022.0,697.7,28,37.36,3,5,0.12237442922374425,0.6775180856983862,0.0,0.46725239616613434,0.3322981366459627,0.6424418604651163,0.2601605619668843
160.0,128.0,122.0,182.0,6.4,824.0,879.0,28,39.4,3,5,0.1324200913242009,0.3561491374513078,0.6096951524237881,0.48083067092651754,0.19875776397515527,0.06686046511627897,0.7150025087807326
222.4,0.0,96.7,189.3,4.5,967.1,870.3,56,29.45,2,6,0.2748858447488584,0.0,0.4832583708145927,0.5391373801916934,0.13975155279503104,0.4828488372093025,0.6931761164074259
251.8,0.0,99.9,146.1,12.4,1006.0,899.8,14,33.36,3,4,0.3420091324200913,0.0,0.49925037481259377,0.19408945686900947,0.3850931677018633,0.5959302325581395,0.7671851480180629
331.0,0.0,0.0,192.0,0.0,978.0,825.0,7,16.26,1,3,0.5228310502283104,0.0,0.0,0.560702875399361,0.0,0.5145348837209305,0.5795283492222778
250.0,0.0,95.7,191.8,5.3,948.9,857.2,56,39.64,3,6,0.33789954337899536,0.0,0.4782608695652174,0.5591054313099042,0.16459627329192544,0.4299418604651164,0.6603110888108381
155.0,183.0,0.0,193.0,9.0,877.0,868.0,28,23.79,2,5,0.12100456621004568,0.5091819699499166,0.0,0.5686900958466454,0.2795031055900621,0.22093023255813948,0.6874059207225287
213.5,0.0,174.2,154.6,11.7,1052.3,775.5,28,45.94,4,5,0.2545662100456621,0.0,0.8705647176411794,0.2619808306709266,0.36335403726708065,0.7305232558139534,0.4553437029603613
446.0,24.0,79.0,162.0,11.6,967.0,712.0,56,61.07,5,6,0.7853881278538812,0.06677796327212021,0.3948025987006497,0.3210862619808308,0.3602484472049689,0.4825581395348837,0.29603612644254906
133.0,210.0,0.0,196.0,3.0,949.0,795.0,28,31.03,3,5,0.07077625570776253,0.5843071786310519,0.0,0.5926517571884984,0.09316770186335402,0.43023255813953476,0.5042649272453588
122.6,183.9,0.0,203.5,0.0,958.2,800.1,90,33.19,3,7,0.04703196347031963,0.5116861435726211,0.0,0.6525559105431309,0.0,0.4569767441860466,0.5170597089814353
290.2,193.5,0.0,185.7,0.0,998.2,704.3,7,21.86,2,3,0.4296803652968036,0.5383973288814692,0.0,0.5103833865814695,0.0,0.5732558139534887,0.2767185148018063
323.7,282.8,0.0,183.8,10.3,942.7,659.9,28,74.7,5,5,0.5061643835616438,0.7868670005564832,0.0,0.4952076677316295,0.3198757763975155,0.4119186046511629,0.16532865027596588
375.0,93.8,0.0,126.6,23.4,852.1,992.6,91,62.5,5,8,0.6232876712328768,0.2609905397885365,0.0,0.03833865814696491,0.7267080745341613,0.14854651162790722,1.0000000000000002
181.4,0.0,167.0,169.6,7.6,1055.6,777.8,28,27.77,2,5,0.18127853881278538,0.0,0.8345827086456772,0.3817891373801916,0.23602484472049687,0.7401162790697673,0.4611138986452583
298.2,0.0,107.0,209.7,11.1,879.6,744.2,28,31.88,3,5,0.447945205479452,0.0,0.5347326336831585,0.7020766773162939,0.34472049689440987,0.22848837209302353,0.3768188660311089
236.0,0.0,0.0,193.0,0.0,968.0,885.0,7,9.99,1,3,0.3059360730593607,0.0,0.0,0.5686900958466454,0.0,0.48546511627906996,0.7300551931761163
236.0,0.0,0.0,193.0,0.0,968.0,885.0,365,25.08,2,14,0.3059360730593607,0.0,0.0,0.5686900958466454,0.0,0.48546511627906996,0.7300551931761163
339.0,0.0,0.0,197.0,0.0,968.0,781.0,3,13.22,1,2,0.5410958904109588,0.0,0.0,0.6006389776357828,0.0,0.48546511627906996,0.46914199698946324
387.0,20.0,94.0,157.0,14.3,938.0,845.0,56,56.34,5,6,0.6506849315068493,0.05564830272676684,0.4697651174412794,0.28115015974440905,0.4440993788819875,0.3982558139534884,0.6297039638735573
166.8,250.2,0.0,203.5,0.0,975.6,692.6,90,43.57,4,7,0.14794520547945206,0.6961602671118531,0.0,0.6525559105431309,0.0,0.507558139534884,0.24736578023080802
387.0,20.0,94.0,157.0,13.9,938.0,845.0,28,46.68,4,5,0.6506849315068493,0.05564830272676684,0.4697651174412794,0.28115015974440905,0.43167701863354035,0.3982558139534884,0.6297039638735573
133.0,200.0,0.0,192.0,0.0,927.4,839.2,3,6.88,1,2,0.07077625570776253,0.5564830272676684,0.0,0.560702875399361,0.0,0.3674418604651164,0.6151530356246864
162.0,214.0,164.0,202.0,10.0,820.0,680.0,28,30.65,3,5,0.136986301369863,0.5954368391764052,0.8195902048975513,0.6405750798722045,0.3105590062111801,0.05523255813953476,0.2157551430005018
262.0,111.0,86.0,195.0,5.0,895.0,733.0,28,33.72,3,5,0.36529680365296807,0.30884808013355597,0.4297851074462769,0.584664536741214,0.15527950310559005,0.2732558139534884,0.34872052182639246
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,14,30.39,3,4,0.25502283105022827,0.27295492487479134,0.12243878060969515,0.4784345047923322,0.21428571428571427,0.769767441860465,0.48018063221274465
332.5,142.5,0.0,228.0,0.0,932.0,594.0,90,37.72,3,7,0.5262557077625571,0.3964941569282137,0.0,0.8482428115015974,0.0,0.3808139534883721,0.0
313.3,262.2,0.0,175.5,8.6,1046.9,611.8,7,42.8,4,3,0.4824200913242009,0.7295492487479133,0.0,0.42891373801916943,0.26708074534161486,0.714825581395349,0.04465629703963869
302.0,0.0,0.0,203.0,0.0,974.0,817.0,180,26.74,2,11,0.4566210045662101,0.0,0.0,0.6485623003194889,0.0,0.5029069767441863,0.5594581033617663
183.9,122.6,0.0,203.5,0.0,959.2,800.0,90,32.53,3,7,0.186986301369863,0.34112409571508073,0.0,0.6525559105431309,0.0,0.4598837209302329,0.5168088309081786
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,7,33.21,3,3,0.9086757990867578,0.0,0.0,0.6246006389776357,0.0,0.941860465116279,0.04766683391871562
