cement,water,superplastic,converted_age,converted_strength
150.7,166.7,15.6,5,1
218.9,158.5,11.3,5,3
233.8,197.9,4.6,4,2
249.1,158.1,12.8,9,5
339.0,185.0,0.0,5,3
505.0,195.0,0.0,5,5
230.0,195.5,4.6,6,3
374.0,170.1,10.1,2,3
139.6,192.0,0.0,13,4
148.1,158.1,16.1,5,1
190.3,161.9,9.9,9,4
376.0,214.6,0.0,4,2
251.4,188.5,6.4,5,3
157.0,192.0,0.0,3,1
304.0,228.0,0.0,5,4
167.4,175.5,7.8,4,3
304.0,214.0,6.0,5,3
182.0,170.2,8.2,2,1
252.0,185.0,0.0,5,1
323.7,183.8,10.3,2,2
350.0,203.0,0.0,7,3
213.5,159.2,11.7,9,5
286.3,144.7,11.2,8,5
143.7,191.6,8.5,5,2
236.0,192.0,0.0,7,4
213.7,154.8,10.2,4,3
181.4,169.6,7.6,9,4
249.1,158.1,12.8,6,4
193.5,185.7,0.0,5,3
194.7,170.2,7.5,5,3
289.0,195.0,6.0,5,4
298.0,201.0,6.0,5,5
192.0,192.0,0.0,7,5
213.5,159.2,11.7,6,5
190.0,228.0,0.0,5,4
173.0,192.0,0.0,7,3
213.5,154.6,11.7,2,1
173.8,172.3,9.7,5,3
284.0,168.0,7.0,5,4
135.7,185.7,0.0,3,1
246.8,143.3,12.0,5,5
136.0,172.0,10.0,5,2
139.6,192.0,0.0,2,1
250.0,187.4,5.5,4,2
475.0,228.0,0.0,11,4
149.0,193.0,6.0,5,2
277.0,191.0,0.0,13,3
225.0,181.0,0.0,3,1
289.0,194.9,5.5,5,4
480.0,192.0,0.0,7,5
153.0,192.0,0.0,7,2
231.8,174.0,6.7,6,4
225.0,181.0,0.0,5,1
190.3,166.6,9.9,4,1
172.4,156.8,4.1,5,3
266.0,228.0,0.0,11,4
212.5,159.3,8.7,5,3
172.4,156.8,4.1,6,3
388.6,157.9,12.1,5,5
277.0,191.0,0.0,5,2
141.3,203.5,0.0,2,1
339.0,197.0,0.0,7,3
289.0,192.0,0.0,7,3
154.8,193.3,9.1,5,1
480.0,192.0,0.0,5,4
198.6,192.0,0.0,5,2
194.7,165.6,7.5,5,2
349.0,192.0,0.0,3,1
366.0,191.0,7.0,5,5
236.0,194.0,0.0,7,2
305.3,203.5,0.0,5,4
213.8,181.7,6.7,6,4
218.2,140.8,11.9,4,3
238.2,185.7,0.0,3,1
159.0,176.0,11.0,5,3
102.0,192.0,0.0,7,2
170.3,185.7,0.0,3,1
425.0,153.5,16.5,3,4
342.0,228.0,0.0,14,5
173.5,164.8,6.5,2,2
330.5,194.9,8.1,5,5
318.8,155.7,14.3,5,5
304.8,196.0,9.8,5,3
266.0,178.0,10.0,5,3
165.0,175.1,8.1,4,3
362.6,164.9,11.6,2,3
139.6,192.0,0.0,7,3
150.0,174.0,12.0,5,3
310.0,167.9,10.0,5,4
148.0,181.0,15.0,5,1
203.5,203.5,0.0,5,4
212.0,159.0,7.8,4,3
102.0,192.0,0.0,2,1
305.3,203.5,0.0,7,5
183.9,203.5,0.0,5,2
296.0,221.0,11.0,5,3
275.1,159.5,9.9,9,5
424.0,178.0,8.5,6,5
166.1,176.5,4.5,2,1
297.8,201.3,6.0,5,5
321.3,190.5,4.6,5,5
333.0,192.0,0.0,7,4
102.0,192.0,0.0,5,1
388.6,157.9,12.1,8,5
480.0,192.0,0.0,7,5
362.6,164.9,11.6,2,3
134.7,180.2,10.0,5,1
250.0,187.4,5.5,2,1
284.0,179.0,5.5,6,4
393.0,192.0,0.0,3,2
475.0,181.1,8.9,8,5
212.5,159.3,8.7,9,4
251.4,188.5,5.8,2,1
275.1,159.5,9.9,5,5
166.8,203.5,0.0,2,1
173.8,172.3,9.7,2,1
374.0,170.1,10.1,5,5
168.0,121.8,5.7,5,2
425.0,153.5,16.5,5,5
331.0,192.0,0.0,10,3
525.0,189.0,0.0,4,4
446.0,162.0,10.3,5,5
300.0,212.0,10.0,5,2
213.8,181.7,6.7,4,1
255.0,192.0,0.0,2,1
275.1,159.5,9.9,4,3
382.5,185.7,0.0,5,3
359.0,154.0,10.9,3,3
190.3,166.6,9.9,6,3
290.2,185.7,0.0,5,3
380.0,228.0,0.0,7,4
165.0,175.1,8.1,9,5
375.0,126.6,23.4,3,4
331.0,192.0,0.0,13,4
277.0,191.0,7.0,5,4
321.0,182.0,11.0,5,3
313.3,175.5,8.6,6,5
522.0,146.0,0.0,5,5
446.0,162.0,11.6,6,5
339.2,185.7,0.0,3,2
286.3,144.7,11.2,3,3
288.0,192.0,0.0,7,5
212.6,159.4,10.4,4,2
400.0,187.0,0.0,5,4
155.2,193.8,9.2,5,2
349.0,192.0,0.0,5,3
334.0,189.0,15.3,5,4
168.0,121.8,5.7,9,3
362.6,164.9,11.6,6,5
255.5,185.7,0.0,5,3
427.5,228.0,0.0,14,4
439.0,186.0,11.1,2,3
261.9,195.4,5.0,5,3
252.0,185.0,0.0,5,1
485.0,146.0,0.0,5,5
194.7,165.6,7.5,2,1
148.0,171.0,2.0,5,2
288.0,192.0,0.0,5,3
359.0,154.0,10.9,6,5
356.0,193.0,11.0,5,4
382.0,186.0,0.0,3,1
439.0,186.0,11.1,8,5
264.5,195.5,5.9,5,4
190.7,162.1,7.8,4,2
173.8,172.3,9.7,9,5
317.9,209.7,5.7,5,4
288.4,177.4,7.0,5,4
425.0,153.5,16.5,8,5
359.0,154.0,10.9,2,2
237.5,228.0,0.0,14,3
133.0,192.0,0.0,5,2
427.5,228.0,0.0,5,3
162.0,216.0,10.0,5,3
251.8,146.1,12.4,6,4
425.0,153.5,16.5,6,5
491.0,210.0,3.9,3,3
275.0,162.0,10.4,5,5
145.4,201.7,7.8,5,1
362.6,164.9,11.6,8,5
277.2,160.7,11.2,2,3
212.5,159.3,8.7,2,1
218.9,158.5,11.3,9,4
297.2,174.8,9.5,4,3
333.0,192.0,0.0,5,3
280.0,172.0,9.0,5,5
178.0,179.9,3.6,9,4
339.0,185.0,0.0,5,3
500.0,200.0,0.0,1,1
362.6,164.9,11.6,3,2
375.0,126.6,23.4,2,2
382.0,185.0,0.0,3,2
451.0,165.0,11.3,5,5
251.8,146.1,12.4,5,3
212.0,203.5,0.0,7,3
153.0,192.0,0.0,3,1
318.8,155.7,14.3,2,2
296.0,186.0,0.0,5,2
313.8,169.9,10.1,5,3
164.0,181.0,13.0,5,1
297.2,174.8,9.5,6,5
231.8,174.0,6.7,2,1
203.5,203.5,0.0,3,1
425.0,153.5,16.5,6,5
310.0,168.0,22.0,5,3
349.0,192.0,0.0,7,4
480.0,192.0,0.0,2,2
298.1,163.6,12.8,5,3
446.0,162.0,11.6,5,5
381.4,185.7,0.0,3,1
475.0,162.0,9.5,5,5
362.6,164.9,11.6,5,5
500.0,200.0,0.0,2,2
425.0,153.5,16.5,8,5
261.0,201.0,9.0,5,3
359.0,154.0,10.9,6,5
237.5,228.0,0.0,7,3
393.0,192.0,0.0,2,1
286.3,144.7,11.2,6,5
213.7,181.7,6.9,6,5
173.8,172.3,9.7,6,4
238.1,186.7,7.0,2,1
251.4,188.5,6.4,4,2
387.0,157.0,13.9,6,4
531.3,141.8,28.2,3,4
304.0,228.0,0.0,11,5
525.0,189.0,0.0,7,5
145.0,184.0,5.7,5,2
212.0,203.5,0.0,2,1
374.0,170.1,10.1,3,4
165.0,182.0,12.0,5,1
424.0,168.0,8.9,5,5
150.0,173.8,11.9,5,3
212.0,203.5,0.0,3,1
272.8,185.7,0.0,3,1
284.0,179.0,5.5,5,4
116.0,192.0,0.0,2,1
260.0,171.0,10.0,5,4
376.0,214.6,0.0,5,3
379.5,153.9,15.9,3,4
233.8,197.9,4.6,6,2
181.9,185.7,0.0,5,2
500.0,200.0,0.0,7,4
167.0,164.0,7.9,4,3
212.6,159.4,10.4,2,1
297.2,174.8,9.5,5,4
153.1,178.5,8.0,5,2
173.0,192.0,0.0,5,2
525.0,189.0,0.0,3,4
289.0,192.0,0.0,5,2
228.0,185.7,0.0,5,3
182.0,170.2,8.2,6,4
144.0,178.0,7.0,5,2
155.0,193.0,9.0,5,1
251.4,188.5,6.4,2,1
475.0,181.1,8.9,6,5
190.0,228.0,0.0,12,5
157.0,192.0,0.0,5,3
355.0,145.0,13.1,5,4
202.0,206.0,1.7,6,2
446.0,162.0,11.6,6,5
425.0,151.4,18.6,8,5
362.6,164.9,11.6,3,5
425.0,153.5,16.5,5,5
190.7,162.1,7.8,9,4
325.0,184.0,0.0,5,3
251.4,188.5,6.4,9,4
525.0,189.0,0.0,11,5
212.5,159.3,8.7,6,4
149.0,176.0,13.0,5,3
375.0,126.6,23.4,6,5
173.5,164.8,6.5,9,5
165.0,163.8,0.0,6,3
168.0,121.8,5.7,2,1
157.0,200.0,9.0,5,3
272.6,198.7,10.6,5,3
251.8,146.1,12.4,9,4
322.0,203.0,0.0,5,2
238.1,185.7,0.0,3,1
424.0,168.0,8.9,6,5
339.0,197.0,0.0,11,3
331.0,192.0,0.0,2,1
133.1,195.7,3.1,5,2
212.1,180.3,5.7,5,2
165.0,175.1,8.1,6,5
145.0,181.0,11.0,5,1
277.0,191.0,0.0,2,1
339.0,197.0,0.0,14,3
143.6,158.4,17.9,5,1
210.7,185.7,0.0,3,2
362.6,164.9,11.6,6,5
260.9,200.6,8.6,5,3
305.3,203.5,0.0,2,1
166.1,176.5,4.5,9,3
500.0,151.0,9.0,5,5
475.0,228.0,0.0,3,3
229.7,195.2,6.1,9,4
439.0,186.0,11.1,3,5
393.0,192.0,0.0,2,1
238.1,186.7,7.0,5,3
491.0,201.0,3.9,6,5
491.0,210.0,3.9,6,5
388.6,157.9,12.1,6,5
295.8,185.7,0.0,3,1
250.0,187.4,5.5,6,3
339.0,197.0,0.0,4,2
332.5,228.0,0.0,11,3
167.0,164.0,7.9,2,1
380.0,228.0,0.0,11,4
380.0,228.0,0.0,12,5
288.0,177.0,7.0,5,4
212.6,159.4,10.4,9,4
200.0,192.0,0.0,7,4
387.0,157.0,13.9,2,2
296.0,186.0,0.0,3,1
322.2,196.0,10.4,5,3
251.4,188.5,5.8,4,2
446.0,162.0,11.6,2,3
304.0,228.0,0.0,12,5
310.0,192.0,0.0,2,1
405.0,175.0,0.0,5,5
321.0,190.0,5.0,5,5
275.0,183.0,0.0,3,1
149.0,182.9,7.1,5,2
186.2,185.7,0.0,3,1
446.0,162.0,11.6,3,3
401.8,147.4,11.4,3,5
331.0,192.0,0.0,2,1
198.6,192.0,0.0,11,4
222.4,189.3,4.5,9,4
173.8,172.3,9.7,4,2
255.0,192.0,0.0,5,1
255.3,188.6,6.5,5,3
322.0,196.0,10.0,5,3
266.2,177.9,10.4,5,3
480.0,192.0,0.0,2,2
250.0,191.8,5.3,2,1
190.7,162.1,7.8,5,2
214.9,155.6,9.6,4,3
277.2,160.7,11.2,9,5
385.0,158.0,20.0,5,5
307.0,193.0,0.0,2,1
295.7,171.5,8.9,5,3
246.8,143.3,12.0,2,2
525.0,189.0,0.0,5,5
250.0,182.0,0.0,3,1
251.4,192.9,5.8,6,3
540.0,173.0,0.0,4,5
190.3,166.6,9.9,5,2
387.0,157.0,14.3,3,3
173.0,192.0,0.0,3,1
166.1,176.5,4.5,6,2
310.0,192.0,0.0,5,2
254.0,198.0,0.0,2,1
190.3,161.9,9.9,4,2
145.0,202.0,8.0,5,1
277.1,160.6,11.8,2,2
289.0,192.0,0.0,2,1
339.2,185.7,0.0,5,3
200.0,180.0,0.0,3,1
295.8,185.7,0.0,5,2
230.0,195.5,4.6,4,2
425.0,151.4,18.6,3,4
238.1,186.7,7.0,6,3
284.0,179.0,5.5,2,1
349.0,192.0,0.0,2,1
152.0,168.0,18.0,5,3
160.2,203.2,11.3,5,3
202.0,206.0,1.7,3,1
194.7,170.2,7.5,2,1
156.0,221.0,7.0,5,2
222.4,189.3,4.5,4,2
143.8,178.1,7.5,5,2
168.9,158.3,10.8,9,4
266.0,228.0,0.0,7,4
194.7,165.6,7.5,6,3
349.0,192.0,0.0,5,3
380.0,228.0,0.0,3,3
151.0,167.0,12.0,5,1
376.0,214.6,0.0,2,1
212.0,159.0,7.8,5,3
310.0,192.0,0.0,2,1
307.0,193.0,0.0,11,3
166.0,183.2,12.7,5,3
252.5,185.7,0.0,3,1
475.0,181.1,8.9,5,5
229.7,195.2,6.1,5,2
158.8,185.7,0.0,3,1
139.9,200.3,7.4,5,3
349.0,192.0,0.0,2,1
157.0,192.0,0.0,2,1
122.6,203.5,0.0,3,1
218.9,158.5,11.3,4,2
331.0,192.0,0.0,7,3
295.0,185.0,0.0,5,2
173.5,164.8,6.5,6,5
374.3,190.2,6.7,5,3
287.3,187.6,9.2,5,4
298.1,186.4,6.1,5,4
190.0,228.0,0.0,14,5
350.0,186.0,0.0,5,3
303.6,213.5,6.2,5,3
350.0,203.0,0.0,5,2
168.9,158.3,10.8,2,1
339.0,185.0,0.0,3,2
252.3,146.3,14.2,2,2
380.0,228.0,0.0,14,4
500.0,200.0,0.0,11,5
249.1,158.1,12.8,5,3
167.0,164.0,7.9,6,5
381.4,185.7,0.0,5,2
500.0,200.0,0.0,5,4
212.0,203.5,0.0,5,3
255.0,192.0,0.0,3,1
220.8,185.7,0.0,3,1
192.0,192.0,0.0,5,3
213.7,154.8,10.2,9,5
190.3,161.9,9.9,2,1
540.0,162.0,2.5,5,5
362.6,164.9,11.6,8,5
214.9,155.6,9.6,5,5
289.0,192.0,0.0,3,1
108.3,203.5,0.0,5,2
210.7,185.7,0.0,5,3
362.6,164.9,11.6,5,5
170.3,185.7,0.0,5,2
140.0,237.0,6.0,5,3
540.0,173.0,0.0,7,5
135.7,185.7,0.0,5,1
150.9,166.6,11.6,5,1
469.0,137.8,32.2,3,5
290.4,168.1,9.4,9,4
167.0,164.0,7.9,9,5
250.2,203.5,0.0,3,1
236.0,194.0,0.0,5,1
192.0,192.0,0.0,3,2
333.0,167.0,17.9,5,4
158.8,185.7,0.0,5,2
252.3,146.3,14.2,5,5
446.0,162.0,11.6,3,3
254.0,198.0,0.0,14,2
349.0,192.0,0.0,13,4
213.5,159.2,11.7,2,1
251.4,188.5,5.8,5,2
194.7,170.2,7.5,6,4
135.0,196.0,6.0,5,2
277.1,160.6,11.8,5,4
251.4,188.5,5.8,9,4
387.0,157.0,14.3,2,2
525.0,189.0,0.0,2,3
151.0,167.0,16.0,5,1
146.5,201.9,8.8,5,1
362.6,164.9,11.6,8,5
313.3,178.5,8.0,5,4
250.2,203.5,0.0,5,3
374.0,190.0,7.0,5,3
146.0,202.0,3.0,5,3
168.9,158.3,10.8,5,3
212.1,180.3,5.7,4,2
400.0,187.0,0.0,3,3
212.6,159.4,10.4,6,4
275.0,183.0,0.0,5,2
540.0,173.0,0.0,11,5
376.0,214.6,0.0,6,3
314.0,170.0,10.0,5,3
298.0,164.0,13.0,5,3
251.4,192.9,5.8,9,4
296.0,221.4,10.5,5,3
251.4,192.9,5.8,4,2
153.0,192.0,0.0,2,1
314.0,178.9,8.0,5,4
190.3,166.6,9.9,9,3
446.0,162.0,11.6,2,2
307.0,193.0,0.0,7,3
516.0,162.0,8.3,5,4
168.0,121.8,5.7,6,3
427.5,228.0,0.0,3,3
173.5,164.8,6.5,5,3
333.0,192.0,0.0,3,2
339.0,197.0,0.0,3,2
152.0,184.0,8.0,5,1
213.8,181.7,6.7,2,1
152.7,178.1,8.0,5,1
198.6,192.0,0.0,3,1
222.4,189.3,4.5,2,1
305.0,196.0,10.0,5,3
375.0,186.0,0.0,3,2
297.2,174.8,9.5,9,5
148.5,192.7,6.1,5,2
272.8,209.7,9.0,5,3
424.0,168.0,8.9,2,3
359.0,154.0,10.9,3,3
332.5,228.0,0.0,5,3
380.0,228.0,0.0,5,3
446.0,162.0,11.6,3,5
108.3,203.5,0.0,3,1
249.1,158.1,12.8,4,2
389.9,145.9,22.0,3,5
250.0,191.8,5.3,4,2
213.7,154.8,10.2,2,1
165.0,175.1,8.1,5,4
182.0,170.2,8.2,5,3
469.0,137.8,32.2,5,5
154.0,228.0,7.0,5,2
250.0,182.0,0.0,5,2
200.0,192.0,0.0,5,3
172.4,156.8,4.1,4,2
164.2,181.2,12.6,5,1
382.5,185.7,0.0,3,2
313.0,178.0,10.0,5,5
250.0,159.0,9.5,5,5
397.0,185.0,0.0,5,3
139.7,236.7,5.8,5,3
190.3,161.9,9.9,6,3
331.0,195.0,8.0,5,5
229.7,195.2,6.1,4,2
425.0,153.5,16.5,3,4
385.0,186.0,0.0,1,1
238.1,186.7,7.0,4,2
325.6,174.0,8.9,5,5
337.9,174.9,9.5,8,5
222.4,189.3,4.5,5,2
212.0,159.0,7.8,9,4
181.4,169.6,7.6,6,3
531.3,141.8,28.2,6,5
337.9,174.9,9.5,3,3
302.0,203.0,0.0,5,2
313.3,175.5,8.6,2,2
332.5,228.0,0.0,3,3
300.0,184.0,0.0,3,1
337.9,174.9,9.5,2,2
388.6,157.9,12.1,3,3
491.0,201.0,3.9,2,2
165.0,163.8,0.0,2,1
252.3,146.3,14.2,6,5
349.0,192.0,0.0,2,1
427.5,228.0,0.0,12,4
249.1,158.1,12.8,2,1
203.5,185.7,0.0,5,2
132.0,178.9,5.5,5,3
387.0,157.0,11.6,2,3
425.0,151.4,18.6,2,3
312.7,127.3,8.0,5,4
375.0,126.6,23.4,5,5
218.2,140.8,11.9,9,5
300.0,184.0,0.0,5,2
162.0,179.0,19.0,5,3
310.0,192.0,0.0,11,3
310.0,192.0,0.0,10,3
401.8,147.4,11.4,6,5
213.7,181.7,6.9,9,5
153.0,178.0,8.0,5,2
273.0,210.0,9.0,5,3
214.9,155.6,9.6,6,5
172.4,156.8,4.1,2,2
516.0,162.0,8.2,5,4
116.0,192.0,0.0,3,1
331.0,192.0,0.0,3,1
